task_id,probs,runtime,support,stderr
24,"[0.020000000000000004, 0.12000000000000001, 0.38, 0.32, 0.12000000000000001, 0.04000000000000001]",11.610711097717285,"[1, 2, 3, 4, 5, 6]",
25,"[0.020000000000000004, 0.14, 0.64, 0.2]",14.673676013946533,"[4, 5, 6, 7]",
26,"[0.14, 0.41999999999999993, 0.32, 0.12000000000000001]",11.132801055908203,"[2, 3, 4, 5]",
27,"[0.62, 0.36, 0.020000000000000004]",11.981245994567871,"[1, 2, 3]",
28,"[0.14, 0.7, 0.15999999999999998]",9.314279794692993,"[1, 2, 3]",
29,"[0.29999999999999993, 0.7]",9.706455945968628,"[6, 7]",
30,"[0.07999999999999999, 0.2, 0.38, 0.28, 0.06]",12.29202675819397,"[3, 4, 5, 6, 7]",
31,"[0.14, 0.66, 0.17999999999999997, 0.020000000000000004]",14.626652956008911,"[1, 2, 3, 4]",
32,"[0.10000000000000002, 0.24, 0.44, 0.15999999999999998, 0.06]",16.738658905029297,"[2, 3, 4, 5, 6]",
33,"[0.10000000000000002, 0.26, 0.48, 0.15999999999999998]",8.212035894393921,"[3, 4, 5, 6]",
34,[1],9.032872915267944,[1],
35,"[0.04000000000000001, 0.4, 0.5, 0.06]",31.672214031219482,"[4, 5, 6, 7]",
36,"[0.04000000000000001, 0.17999999999999997, 0.3400000000000001, 0.32, 0.07999999999999999, 0.04000000000000001]",15.21111273765564,"[1, 2, 3, 4, 5, 6]",
37,"[0.020000000000000004, 0.12000000000000001, 0.38, 0.46, 0.020000000000000004]",94.4553771018982,"[3, 4, 5, 6, 7]",
38,"[0.06, 0.26, 0.58, 0.07999999999999999, 0.020000000000000004]",12.07523798942566,"[3, 4, 5, 6, 7]",
39,"[0.24, 0.38, 0.29999999999999993, 0.07999999999999999]",11.592045068740845,"[2, 3, 4, 5]",
40,"[0.04000000000000001, 0.36, 0.4, 0.14, 0.06]",12.111830949783325,"[1, 2, 3, 4, 5]",
41,"[0.3400000000000001, 0.58, 0.07999999999999999]",11.788103103637695,"[1, 2, 3]",
42,"[0.10000000000000002, 0.26, 0.44, 0.17999999999999997, 0.020000000000000004]",12.009167909622192,"[3, 4, 5, 6, 7]",
43,"[0.020000000000000004, 0.2, 0.29999999999999993, 0.3400000000000001, 0.10000000000000002, 0.04000000000000001]",40.02556800842285,"[1, 2, 3, 4, 5, 6]",
44,"[0.07999999999999999, 0.46, 0.32, 0.14]",23.510610342025757,"[1, 2, 3, 4]",
45,"[0.04000000000000001, 0.06, 0.28, 0.48, 0.14]",18.138449907302856,"[2, 3, 4, 5, 6]",
46,"[0.58, 0.4, 0.020000000000000004]",12.885114192962646,"[1, 2, 3]",
47,"[0.07999999999999999, 0.22, 0.41999999999999993, 0.2, 0.07999999999999999]",28.103198051452637,"[2, 3, 4, 5, 6]",
48,"[0.07999999999999999, 0.2, 0.62, 0.10000000000000002]",205.90758991241455,"[4, 5, 6, 7]",
49,"[0.020000000000000004, 0.36, 0.41999999999999993, 0.15999999999999998, 0.04000000000000001]",17.59829306602478,"[1, 2, 3, 4, 5]",
50,"[0.36, 0.54, 0.07999999999999999, 0.020000000000000004]",21.336076974868774,"[1, 2, 3, 4]",
51,"[0.56, 0.41999999999999993, 0.020000000000000004]",8.774695873260498,"[1, 2, 3]",
52,"[0.26, 0.58, 0.14, 0.020000000000000004]",11.451483964920044,"[1, 2, 3, 4]",
53,"[0.020000000000000004, 0.41999999999999993, 0.36, 0.15999999999999998, 0.04000000000000001]",13.798799991607666,"[2, 3, 4, 5, 6]",
54,"[0.04000000000000001, 0.26, 0.3400000000000001, 0.28, 0.06, 0.020000000000000004]",11.326113939285278,"[1, 2, 3, 4, 5, 6]",
55,"[0.10000000000000002, 0.3400000000000001, 0.5, 0.06]",31.705244779586792,"[4, 5, 6, 7]",
56,"[0.36, 0.24, 0.3400000000000001, 0.06]",636.4445090293884,"[2, 3, 4, 5]",
57,"[0.3400000000000001, 0.4, 0.15999999999999998, 0.07999999999999999, 0.020000000000000004]",22.411332845687866,"[2, 3, 4, 5, 6]",
58,"[0.07999999999999999, 0.15999999999999998, 0.38, 0.28, 0.10000000000000002]",24.350526809692383,"[2, 3, 4, 5, 6]",
59,"[0.04000000000000001, 0.22, 0.41999999999999993, 0.22, 0.10000000000000002]",13.710970163345337,"[3, 4, 5, 6, 7]",
60,"[0.020000000000000004, 0.07999999999999999, 0.28, 0.4, 0.2, 0.020000000000000004]",48.41448426246643,"[2, 3, 4, 5, 6, 7]",
61,"[0.07999999999999999, 0.56, 0.36]",22.732292652130127,"[5, 6, 7]",
62,"[0.38, 0.62]",9.45397663116455,"[6, 7]",
63,"[0.020000000000000004, 0.10000000000000002, 0.32, 0.5, 0.06]",41.88122487068176,"[3, 4, 5, 6, 7]",
64,"[0.020000000000000004, 0.4, 0.44, 0.14]",16.10594391822815,"[1, 2, 3, 4]",
