task_id,probs,runtime,support
35,"[0.2996012663204299, 0.1116458619985027, 0.10436562891999254, 0.08085177694201695, 0.08902771669042532, 0.10123879015489988, 0.21326895897373274]",,"[1, 2, 3, 4, 5, 6, 7]"
36,"[0.36660183157776705, 0.10890602773549815, 0.12138574224806013, 0.062013232126776216, 0.07076143699324643, 0.08953680058708956, 0.1807949287315625]",,"[1, 2, 3, 4, 5, 6, 7]"
37,"[0.25746420377628176, 0.10953661128176523, 0.15120125425515368, 0.06152108146847541, 0.1033358495066879, 0.09212789889414304, 0.2248131008174929]",,"[1, 2, 3, 4, 5, 6, 7]"
38,"[0.3388086161741134, 0.09498151397238623, 0.11678994678005498, 0.05860564562999281, 0.06626481211702451, 0.11885124621949192, 0.20569821910693611]",,"[1, 2, 3, 4, 5, 6, 7]"
39,"[0.33152423808828885, 0.10072388057684656, 0.1548291381302713, 0.07251327386231173, 0.07943130828745854, 0.09537880980695691, 0.1655993512478661]",,"[1, 2, 3, 4, 5, 6, 7]"
40,"[0.3114303336790953, 0.08507525589981205, 0.12282811423292712, 0.0790072336222963, 0.0833508832961039, 0.11776439881074816, 0.2005437804590173]",,"[1, 2, 3, 4, 5, 6, 7]"
41,"[0.3868716281843494, 0.08572439414369273, 0.10177971612815571, 0.05145383599279451, 0.07031439799800737, 0.09901545250701121, 0.20484057504598904]",,"[1, 2, 3, 4, 5, 6, 7]"
42,"[0.27318463553750644, 0.083676156240521, 0.1540338028069023, 0.09811914275316101, 0.09829801026498958, 0.1011087276529214, 0.19157952474399811]",,"[1, 2, 3, 4, 5, 6, 7]"
43,"[0.3269119665818858, 0.09317044217133935, 0.1285126182556564, 0.06553458434786594, 0.07367929788152486, 0.10554315841923695, 0.2066479323424907]",,"[1, 2, 3, 4, 5, 6, 7]"
44,"[0.3206129058836754, 0.06978749645035252, 0.13344093948260777, 0.05755634774701521, 0.07404710836019797, 0.0985271218268774, 0.24602808024927375]",,"[1, 2, 3, 4, 5, 6, 7]"
45,"[0.2693750276587771, 0.0796183545871704, 0.10525157283860942, 0.12315873943666975, 0.10123091945348278, 0.09779763302363774, 0.22356775300165288]",,"[1, 2, 3, 4, 5, 6, 7]"
46,"[0.3265356881338515, 0.10011941963976435, 0.13864312219035413, 0.07715888391281245, 0.08561301740724535, 0.10531371603505212, 0.16661615268092006]",,"[1, 2, 3, 4, 5, 6, 7]"
47,"[0.30678245556721334, 0.12150585909404903, 0.16774513809544694, 0.07846503656105111, 0.09580747336853952, 0.09610595931097275, 0.1335880780027273]",,"[1, 2, 3, 4, 5, 6, 7]"
48,"[0.30188635191612956, 0.10902539179971235, 0.14915934749060925, 0.07171850481954396, 0.08409322772592805, 0.10306503166567078, 0.18105214458240618]",,"[1, 2, 3, 4, 5, 6, 7]"
49,"[0.32665519501201257, 0.11426795194698412, 0.14182905231116102, 0.0679244091907362, 0.08051392732590945, 0.11211301018317255, 0.15669645403002416]",,"[1, 2, 3, 4, 5, 6, 7]"
50,"[0.34059821503547993, 0.10281117876584585, 0.1303931358496693, 0.05615571637909368, 0.06584980325683268, 0.09458413686377111, 0.20960781384930752]",,"[1, 2, 3, 4, 5, 6, 7]"
51,"[0.3562559263810753, 0.08551408540045778, 0.14047665958171746, 0.07253748782700564, 0.07331705018227928, 0.08350562249840618, 0.18839316812905854]",,"[1, 2, 3, 4, 5, 6, 7]"
52,"[0.3523107960240893, 0.09639086303051159, 0.1572717396738416, 0.08394023158891661, 0.08790526592080658, 0.08358476171025851, 0.13859634205157567]",,"[1, 2, 3, 4, 5, 6, 7]"
53,"[0.28723017359643854, 0.08824022051020107, 0.14231581597118506, 0.07265632217477308, 0.09318718109144102, 0.09877785183612574, 0.21759243481983542]",,"[1, 2, 3, 4, 5, 6, 7]"
54,"[0.3245161390061807, 0.10462975092966734, 0.15003081034488652, 0.07653066135074317, 0.08324031810875228, 0.09785826677210394, 0.1631940534876661]",,"[1, 2, 3, 4, 5, 6, 7]"
55,"[0.3002266515912122, 0.10425566134893285, 0.09946710325152001, 0.06784304416619813, 0.09103762196900503, 0.11685782135065437, 0.2203120963224773]",,"[1, 2, 3, 4, 5, 6, 7]"
56,"[0.29744302332378175, 0.09719140468642856, 0.1366269165134747, 0.12296192929983357, 0.0787799989176871, 0.10412542253149923, 0.16287130472729505]",,"[1, 2, 3, 4, 5, 6, 7]"
57,"[0.3223781062047276, 0.09044206523206147, 0.14086042036138302, 0.11473825077433235, 0.07695597809659961, 0.09209294267236648, 0.16253223665852945]",,"[1, 2, 3, 4, 5, 6, 7]"
58,"[0.3121334230057133, 0.09381780225818435, 0.21524853364223737, 0.07384820538999567, 0.08501952343929617, 0.07829221722905194, 0.1416402950355213]",,"[1, 2, 3, 4, 5, 6, 7]"
59,"[0.28251594459771306, 0.10104526573631126, 0.15770238271969853, 0.0783674715411121, 0.09384130614950649, 0.11015035014529513, 0.1763772791103636]",,"[1, 2, 3, 4, 5, 6, 7]"
60,"[0.33842078124559705, 0.08721028242200751, 0.11351539171451155, 0.060015988711425335, 0.05866721490434261, 0.10118731773202175, 0.24098302327009408]",,"[1, 2, 3, 4, 5, 6, 7]"
61,"[0.25272041379536847, 0.09996411092880021, 0.11666152472745615, 0.08122484558770537, 0.0791531585352526, 0.1519900932688503, 0.218285853156567]",,"[1, 2, 3, 4, 5, 6, 7]"
62,"[0.30726091485419876, 0.07941196186817145, 0.10258161051007031, 0.059448504478010526, 0.07577944051583262, 0.10081015213164984, 0.2747074156420666]",,"[1, 2, 3, 4, 5, 6, 7]"
63,"[0.2588691617197997, 0.10320107296639708, 0.14877665721153144, 0.09499174857800621, 0.09168883503027829, 0.10820687844309845, 0.19426564605088878]",,"[1, 2, 3, 4, 5, 6, 7]"
64,"[0.278232891861682, 0.10209889000760156, 0.1642664813970277, 0.09459049497245998, 0.09968849093978605, 0.09591655200389243, 0.1652061988175502]",,"[1, 2, 3, 4, 5, 6, 7]"
